Time,data
1652390111.1545906,s20000.0
1652390111.1961327,s20000.0
1652390111.2555735,s20000.0
1652390111.4615686,s20000.0
1652390111.507804,s20000.0
1652390111.5517004,s20000.0
1652390111.6286347,s20000.0
1652390111.7686138,s20000.0
1652390111.832975,s20000.0
1652390111.9214225,s20000.0
1652390112.1763506,s20000.0
1652390112.203283,s20000.0
1652390112.485124,s20000.0
1652390112.5132656,s20000.0
1652390112.589393,s20000.0
1652390112.6884854,s20000.0
1652390112.779517,s20000.0
1652390112.874117,s20000.0
1652390112.9606369,s20000.0
1652390113.0982206,s20000.0
1652390113.1713333,s20000.0
1652390113.2592504,s20000.0
1652390113.3565528,s20000.0
1652390113.4445662,s20000.0
1652390113.5426567,s20000.0
1652390113.6411097,s20000.0
1652390113.7293992,s20000.0
1652390113.8284266,s20000.0
1652390113.9174254,s20000.0
1652390114.121733,s20000.0
1652390114.1781526,s20000.0
1652390114.2238095,s20000.0
1652390114.3023098,s20000.0
1652390114.4009974,s20000.0
1652390114.4897223,s20000.0
1652390114.6008477,s20000.0
1652390114.6966066,s20000.0
1652390114.7855306,s20000.0
1652390114.888363,s20000.0
1652390114.9728098,s20000.0
1652390115.0804615,s20000.0
1652390115.1706676,s20000.0
1652390115.2699687,s20000.0
1652390115.3681269,s20000.0
1652390115.4558187,s20000.0
1652390115.5554132,s20000.0
1652390115.643799,s20000.0
1652390115.740387,s20000.0
1652390115.8308427,s20000.0
1652390115.9274776,s20000.0
1652390116.0170763,s20000.0
1652390116.1707342,s20000.0
1652390116.222025,s20000.0
1652390116.374814,s20000.0
1652390116.418242,s20000.0
1652390116.5004838,s20000.0
1652390116.5971217,s20000.0
1652390116.7061622,s20000.0
1652390116.7957048,s20000.0
1652390116.8926272,s20000.0
1652390116.9816003,s20000.0
1652390117.070389,s20000.0
1652390117.1704051,s20000.0
1652390117.2773843,s20000.0
1652390117.3654118,s20000.0
1652390117.464309,s20000.0
1652390117.5557697,s20000.0
1652390117.6515796,s20000.0
1652390117.741244,s20000.0
1652390117.9115872,s20000.0
1652390117.956551,s20000.0
1652390118.0371897,s20000.0
1652390118.135166,s20000.0
1652390118.2260501,s20000.0
1652390118.3129056,s20000.0
